Student ID,FirstName,MiddleName,LastName,Gender,DateOfBirth,Father'sName,Mother'sName,Father'sDateOfBirth,AddressLine1,AddressLine2,PinCode,PoliceStation,District,State,Father'sOccupation,Mother'sOccupation,Father'sPhone,Mother'sPhone,EmergencyContact,YearOfAdmission,ClassOfAdmission,YearOfTransfer,ClassOfTransfer
10001,Cynthia,Timothy,Castaneda,Male,04-02-2005,Timothy,Paula,20-10-1975,2314 Amy Pass Suite 440,,30927,,Los Angeles,Montana,Lawyer,Pharmacist,14886335553,15379227083,11662146447,2020,9,2021,10
10002,Greg,Daniel,Green,Male,29-04-2004,Daniel,Sarah,24-06-1978,9182 Hudson Drive,,54716,,Los Angeles,Wisconsin,Teacher,Real Estate Agent,13305124195,17107788680,17878499000,2021,10,2022,11
10003,Thomas,Jesse,Key,Female,22-08-2005,Jesse,Jennifer,31-08-1983,"PSC 1348, Box 3221",,74120,,Boston,Minnesota,Photographer,Police Officer,14794724995,16458523756,14495943212,2023,11,2024,12
10004,Joshua,William,Watkins,Male,24-02-2005,William,Leslie,25-10-1978,121 Austin Creek,,65544,,San Jose,Hawaii,Interior Designer,Event Planner,17933512325,15452451921,11267652733,2022,11,2023,12
10005,Jonathan,Nicholas,Evans,Male,11-11-2005,Nicholas,Jennifer,17-11-1976,6946 Angela Via,,56141,,Miami,New Hampshire,Pharmacist,Real Estate Agent,15379947754,16615598772,19341546065,2022,10,2023,11
10006,Krista,Dale,Evans,Female,17-03-2005,Dale,Shelia,06-02-1975,2302 Frederick Cliff Apt. 458,,71755,,Charlotte,Arkansas,Banker,Event Planner,12451779836,19332142444,14501535719,2023,9,2024,10
10007,Regina,Joseph,Rose,Male,18-10-2004,Joseph,Kiara,11-10-1975,550 Marquez Well Apt. 507,,52199,,Minneapolis,Virginia,Architect,House Wife,12266342435,17334635579,16668107295,2022,9,2023,10
10008,Brittany,Bryan,Robbins,Male,23-02-2004,Bryan,Maria,15-04-1978,3151 Ronald Bypass,,66123,,San Antonio,Michigan,Financial Analyst,Pharmacist,15555738642,11314321040,16174972484,2021,10,2022,11
10009,Ryan,James,Jackson,Male,09-09-2004,James,Amy,14-08-1982,29227 Parker Vista,,68687,,Jacksonville,Wisconsin,Veterinarian,Social Media Manager,13401768225,11296878895,18378801076,2022,11,2023,12
10010,Bridget,Marvin,Flores,Male,29-11-2004,Marvin,Kelly,18-01-1982,863 Taylor Pass Apt. 145,,56027,,San Antonio,Pennsylvania,Chef,IT Administrator,16929255002,15778089881,18244813375,2020,11,2021,12
10011,Brittany,Paul,Ramirez,Female,22-11-2005,Paul,Sandra,23-08-1978,40973 Brooke Summit Apt. 596,,61544,,San Jose,Ohio,Project Manager,Event Planner,17616215704,15323573382,14428467362,2023,10,2024,11
10012,Jennifer,Cody,Johnson,Male,26-10-2005,Cody,Maria,25-05-1980,126 Felicia Inlet Suite 826,,26295,,Boston,Illinois,Security Guard,Social Media Manager,14224987679,16715045317,13932617396,2023,9,2024,10
10013,Lisa,Luis,Nelson,Female,08-09-2004,Luis,Candice,12-11-1980,18613 Anderson Stravenue,,49660,,Oklahoma City,North Carolina,Teacher,Police Officer,17355154594,13871878687,19804351535,2021,9,2022,10
10014,Bryan,Michael,Doyle,Female,12-03-2004,Michael,Michelle,17-06-1979,01983 Stafford Run,,71119,,Miami,North Carolina,Research Scientist,Real Estate Agent,19781893404,16973515405,11939339665,2022,10,2023,11
10015,Cindy,Steven,Stevens,Male,09-06-2005,Steven,Barbara,28-05-1977,3244 Robin Lake Suite 446,,37976,,Colorado Springs,Mississippi,Accountant,Pharmacist,15395085662,13068842779,18771986755,2020,11,2021,12
10016,James,Anthony,Martin,Male,22-02-2005,Anthony,Tiffany,05-03-1976,05518 Kathleen Springs,,75533,,Tulsa,Kansas,Dentist,IT Administrator,18402008003,12115745680,14671024954,2020,10,2021,11
10017,George,Cesar,Durham,Female,23-02-2005,Cesar,Patty,04-01-1978,90473 Michael Shores,,56921,,Jacksonville,North Dakota,Nurse,House Wife,19539748273,15403411818,16418603327,2021,11,2022,12
10018,Stephanie,Anthony,Rogers,Male,27-04-2005,Anthony,Chelsea,31-07-1982,2800 Bowers Extensions,,58327,,Chicago,Louisiana,Project Manager,Social Media Manager,13432117522,14312726131,15803478142,2023,10,2024,11
10019,Jenna,Adam,Turner,Male,30-04-2004,Adam,Nichole,02-08-1979,42724 Gloria Ports Suite 702,,43273,,Kansas City,Nevada,Mechanical Engineer,Event Planner,14539069993,18081464430,18613142050,2022,9,2023,10
10020,Elizabeth,Michael,Chapman,Male,02-03-2005,Michael,Michele,07-09-1975,21084 Sharon Shores Suite 634,,71610,,Las Vegas,Nevada,Project Manager,Police Officer,17988924050,14185789552,18192864685,2020,9,2021,10
10021,Jennifer,Timothy,Washington,Male,08-06-2005,Timothy,Shannon,04-02-1977,74019 Branch Shoal,,71709,,Omaha,New Hampshire,Journalist,IT Administrator,16505094827,18249972483,19692762792,2021,10,2022,11
10022,Theresa,James,Clark,Male,12-09-2004,James,Christina,27-10-1977,92690 Joshua Rue,,32190,,Arlington,Alaska,Software Developer,Police Officer,19073384189,11741868130,18208626988,2023,11,2024,12
10023,Timothy,Kurt,Hartman,Male,19-01-2004,Kurt,Kelly,06-01-1976,82838 Mariah Inlet Suite 746,,62441,,Portland,Oregon,Event Planner,IT Administrator,15098285341,13303454627,15298983932,2022,11,2023,12
10024,Cameron,Douglas,Martinez,Female,22-11-2005,Douglas,Ashley,26-01-1982,135 Roy Summit Apt. 550,,49874,,Wichita,Colorado,Entrepreneur,IT Administrator,14365621297,17644236198,18136316747,2022,10,2023,11
10025,Matthew,Thomas,Fernandez,Female,12-09-2005,Thomas,Lynn,28-12-1981,2388 Simpson Rapid Apt. 416,,66786,,Seattle,Alabama,Financial Analyst,Real Estate Agent,11589831473,14919433745,13475293015,2023,9,2024,10
10026,Douglas,Adam,Thompson,Female,30-07-2005,Adam,Patricia,01-06-1978,35663 Karen Walks,,65736,,Denver,Idaho,Journalist,Real Estate Agent,11352743510,19747214609,12703392997,2022,9,2023,10
10027,Christian,Austin,Clark,Female,07-05-2004,Austin,Molly,06-12-1976,0056 Catherine Manors,,54338,,Los Angeles,New Hampshire,Event Planner,IT Administrator,11967635372,13606568428,13646812038,2021,10,2022,11
10028,Sonia,James,Morrow,Female,21-12-2004,James,Christina,09-01-1979,06618 Nicole Meadows Suite 116,,39472,,Las Vegas,Wisconsin,Construction Worker,House Wife,12373106234,14209855781,11631184994,2022,11,2023,12
10029,Kaitlyn,Robert,Simmons,Female,26-11-2005,Robert,Melanie,11-04-1982,4142 Montgomery Divide,,31140,,Los Angeles,Iowa,Event Planner,Dentist,14633738358,16721324824,15956082036,2020,11,2021,12
10030,Sharon,Cameron,Lee,Male,30-09-2004,Cameron,Suzanne,15-04-1978,07664 Odom Mission,,50293,,Tucson,Georgia,Fitness Instructor,IT Administrator,18866816920,11651583877,16799939002,2023,10,2024,11
10031,Jennifer,Jason,Gonzales,Male,07-02-2005,Jason,Lisa,05-04-1983,66945 David Plains,,27787,,Memphis,Virginia,Financial Analyst,IT Administrator,12535949499,18908445066,18715115244,2023,9,2024,10
10032,Isabel,Richard,Adkins,Female,01-10-2005,Richard,Cristina,14-07-1975,913 Luke Shores,,71067,,Minneapolis,Utah,Social Media Manager,IT Administrator,14542489529,17559283898,11458132546,2021,9,2022,10
10033,Tracey,Joseph,Prince,Male,14-09-2005,Joseph,Amy,28-09-1980,62899 Pearson Road Suite 263,,43949,,Louisville,Oregon,Web Designer,Real Estate Agent,16505602318,11365048962,11332326499,2022,10,2023,11
10034,Samuel,Kenneth,Smith,Female,20-02-2004,Kenneth,Julie,04-02-1979,94509 Griffith Branch Apt. 903,,49053,,Oakland,Iowa,Research Scientist,Social Media Manager,13615729922,15346729889,12274458952,2020,11,2021,12
10035,Nicole,Eric,Johnson,Female,19-03-2004,Eric,Denise,19-05-1977,40066 Susan Crossroad Suite 773,,41278,,Indianapolis,Montana,Web Designer,IT Administrator,19207823726,17302867003,13394478898,2020,10,2021,11
10036,Kathleen,William,Acevedo,Male,07-07-2005,William,Lori,14-05-1979,443 Logan Island Suite 328,,70053,,Chicago,Washington,Photographer,House Wife,12427905490,14228474431,12618411688,2021,11,2022,12
10037,Alejandro,Dillon,Lucas,Male,30-05-2005,Dillon,Erica,21-12-1979,1282 Lisa Route,,39518,,Los Angeles,Wyoming,Interior Designer,Pharmacist,15822197079,17922352180,16713958413,2023,10,2024,11
10038,Cynthia,Paul,Myers,Female,01-07-2005,Paul,Gina,08-05-1975,64044 Michael Walks Apt. 170,,65951,,Los Angeles,Hawaii,Sales Manager,Social Media Manager,19111363089,17941434225,15213476700,2022,9,2023,10
10039,Maria,Michael,Larson,Male,22-10-2004,Michael,Jodi,13-07-1979,8472 Brown Terrace,,58071,,San Antonio,New Hampshire,Event Planner,Social Media Manager,13179183761,17665068480,18391651887,2020,9,2021,10
10040,Russell,Michael,Richardson,Male,12-02-2004,Michael,Kimberly,11-06-1975,074 Karen Turnpike Apt. 155,,35437,,Indianapolis,South Dakota,Engineer,IT Administrator,14485344360,12867347043,18864672408,2021,10,2022,11
10041,Brittany,Carl,Edwards,Male,19-01-2005,Carl,Angela,21-07-1976,25300 Cherry Radial,,54026,,Baltimore,South Dakota,Product Manager,Real Estate Agent,16099394228,15361835820,18248081475,2023,11,2024,12
10042,Michele,Andrew,Hall,Male,16-12-2005,Andrew,Natalie,30-10-1975,88953 Amanda Turnpike Apt. 699,,62412,,Indianapolis,New Mexico,Pilot,Police Officer,16658812254,14728952051,15243556123,2022,11,2023,12
10043,Sarah,Marc,Terry,Female,17-08-2004,Marc,Sandra,14-09-1977,6780 Elizabeth Unions,,30147,,San Jose,Maryland,Construction Worker,IT Administrator,15525991278,13226997096,14189058741,2022,10,2023,11
10044,Sean,John,Mejia,Male,14-07-2004,John,Ann,27-11-1978,17879 Brittany Plains,,49807,,Milwaukee,Wisconsin,Artist,House Wife,14841363686,12625008147,16877814135,2023,9,2024,10
10045,Angela,Samuel,Morgan,Male,23-07-2005,Samuel,Caroline,17-11-1976,16135 Nicole Mills Suite 201,,42504,,Jacksonville,North Carolina,Graphic Designer,Real Estate Agent,17476276210,11582928790,14924239469,2022,9,2023,10
10046,Sally,Craig,Mendez,Male,06-09-2005,Craig,Dana,23-07-1976,453 William Mall,,46352,,Raleigh,North Dakota,Doctor,Event Planner,12087065755,15851069136,15637066665,2021,10,2022,11
10047,Brandon,Randy,Wallace,Male,09-11-2005,Randy,Sheryl,21-05-1977,8892 Rick Shoals,,40049,,Albuquerque,Michigan,Banker,Event Planner,19416333751,14326644911,16981842813,2022,11,2023,12
10048,Scott,James,Griffith,Male,14-06-2004,James,Cynthia,22-02-1983,363 Jeffrey Stravenue Apt. 471,,47479,,Omaha,Kentucky,Engineer,House Wife,14186111183,14296353479,12458532116,2020,11,2021,12
10049,Jennifer,Dylan,Miles,Male,24-03-2004,Dylan,Kimberly,27-12-1977,06010 Morris Greens Apt. 197,,31847,,Seattle,Idaho,Interior Designer,House Wife,18801797917,12936952919,18779781298,2023,10,2024,11
10050,Meghan,Marcus,Mills,Female,29-01-2004,Marcus,Ashley,03-07-1981,337 Davis Center,,40119,,Tucson,Montana,Librarian,Real Estate Agent,11825181022,18085664847,14902712448,2023,9,2024,10
10051,Robert,Jose,Robinson,Male,11-06-2004,Jose,Lauren,26-12-1981,456 Crawford Springs Apt. 737,,27682,,Tulsa,Virginia,Graphic Designer,Dentist,18908115651,18811179600,17497036577,2021,9,2022,10
10052,Tara,John,Lowe,Male,08-01-2004,John,Shelby,20-10-1975,03155 Li Springs,,62130,,New York City,North Carolina,Marketing Specialist,Event Planner,14829811802,19364233657,12551503750,2022,10,2023,11
10053,Angela,Marcus,Perez,Female,14-11-2004,Marcus,Jennifer,20-10-1982,616 Vasquez Views Suite 370,,47486,,Austin,West Virginia,Real Estate Agent,IT Administrator,18226565089,11352734895,13704904670,2020,11,2021,12
10054,Andrew,Scott,Cruz,Male,12-05-2005,Scott,Lisa,23-04-1978,USCGC Jones,,48155,,Los Angeles,Maine,Data Analyst,House Wife,15513963519,18453517458,12691904158,2020,10,2021,11
10055,Sierra,Norman,Cantu,Female,30-11-2004,Norman,Joan,01-02-1975,54139 Shannon Inlet,,62412,,Philadelphia,Massachusetts,Event Planner,House Wife,12315345693,17002809584,12913652310,2021,11,2022,12
10056,Julie,Jared,Townsend,Female,26-01-2005,Jared,Peggy,23-10-1978,1346 Silva Trail Suite 185,,63833,,Arlington,South Carolina,Librarian,Pharmacist,19902763497,13317811042,11504319482,2023,10,2024,11
10057,Amanda,Jamie,Bishop,Female,22-09-2005,Jamie,Kathy,23-10-1977,939 Grant Shores,,34492,,New Orleans,Georgia,Doctor,Social Media Manager,16057005449,12884431734,14235239498,2022,9,2023,10
10058,Sabrina,Jonathan,Cruz,Female,22-12-2005,Jonathan,Rebecca,30-12-1976,284 Jessica Rue Apt. 225,,40124,,Fresno,Michigan,Writer,Event Planner,16632644081,15604421497,13579408537,2020,9,2021,10
10059,Rhonda,Trevor,Reyes,Female,26-08-2004,Trevor,Kathryn,12-04-1978,"PSC 1005, Box 3837",,35636,,Dallas,Wisconsin,Graphic Designer,IT Administrator,14775835576,17788042221,18213344622,2021,10,2022,11
10060,Jennifer,James,Wilson,Female,15-02-2004,James,Donna,14-04-1977,"PSC 9403, Box 9586",,49116,,Arlington,West Virginia,Graphic Designer,Dentist,18053622303,19607058264,17797514984,2023,11,2024,12
10061,Sandra,Scott,Schmidt,Female,14-05-2005,Scott,Nicole,01-02-1978,8418 Jason Well,,31556,,Miami,Nevada,Sales Manager,Pharmacist,19517521329,18468345590,13873922599,2022,11,2023,12
10062,Heather,Nathaniel,Davis,Female,19-11-2004,Nathaniel,Sandra,29-03-1979,173 Michael Knolls,,65590,,Colorado Springs,Washington,Journalist,Dentist,18302042608,13151002535,16663309387,2022,10,2023,11
10063,Louis,Jeffrey,Jacobson,Male,12-08-2004,Jeffrey,Tanya,28-08-1977,9364 Jesus Hollow,,26347,,Kansas City,Vermont,Software Developer,Police Officer,16561923439,13413109923,17753253134,2023,9,2024,10
10064,Christopher,Stephen,Lopez,Female,11-02-2005,Stephen,Mary,21-11-1981,0401 Penny Creek Suite 779,,53005,,Oklahoma City,Delaware,Writer,Event Planner,17442522706,18394446752,16349597588,2022,9,2023,10
10065,Lauren,Jeffery,Lopez,Male,19-06-2005,Jeffery,Rebecca,07-12-1975,772 Rogers Plaza Suite 959,,50955,,Minneapolis,Michigan,IT Administrator,Social Media Manager,14324863662,13082782813,14526088944,2021,10,2022,11
10066,Sandra,Ryan,Olson,Female,14-05-2005,Ryan,Kim,07-10-1981,168 Hernandez Manor,,43030,,Denver,West Virginia,Lawyer,Social Media Manager,12593742600,17321083126,14176294944,2022,11,2023,12
10067,William,Micheal,Simon,Female,02-10-2005,Micheal,Monica,19-08-1975,196 Jennifer Lake Apt. 039,,64840,,Seattle,North Carolina,Doctor,Social Media Manager,15733493684,13609847022,18857498500,2020,11,2021,12
10068,Jessica,Donald,Hicks,Female,20-07-2004,Donald,Sharon,19-04-1977,4393 Richard Canyon Suite 067,,71231,,Chicago,Delaware,Retail Store Manager,Event Planner,13709374409,13528976013,11775449293,2023,10,2024,11
10069,Michael,William,Garcia,Female,21-04-2005,William,Dominique,13-01-1983,Unit 2776 Box 7812,,47773,,Oakland,Rhode Island,Fitness Instructor,Dentist,12272373089,19334359238,17477626913,2023,9,2024,10
10070,Katherine,Nicholas,Carroll,Female,20-04-2004,Nicholas,Stacey,04-10-1980,45564 Sara Lodge,,67344,,Minneapolis,Tennessee,Journalist,Event Planner,19274192989,17759384865,11735866966,2021,9,2022,10
10071,Johnathan,Larry,Turner,Female,22-10-2005,Larry,Joanna,19-05-1979,USNS Saunders,,66544,,Detroit,Colorado,Doctor,Police Officer,17348872868,14283813842,17452267358,2022,10,2023,11
10072,Robert,James,Johnson,Male,27-12-2004,James,Stephanie,20-08-1977,927 Michael Manors,,73147,,Miami,Colorado,Customer Service Representative,IT Administrator,17499312538,11804751232,14683524234,2020,11,2021,12
10073,Christina,Frank,Stone,Male,23-03-2005,Frank,Elizabeth,05-06-1979,49099 Johnson Camp,,76853,,Mesa,Ohio,Architect,Police Officer,18003059911,18529072001,12594631682,2020,10,2021,11
10074,Charles,Ryan,Hess,Female,01-04-2004,Ryan,Tracey,15-06-1975,25817 Rachel Inlet,,65644,,Albuquerque,Nevada,Data Analyst,Dentist,12997687396,19918764793,13334806548,2021,11,2022,12
10075,James,Paul,Lucas,Female,26-05-2005,Paul,Christina,25-02-1978,814 Calhoun Knoll Suite 126,,78131,,Fresno,Illinois,Engineer,Pharmacist,18449964032,15668612606,11712585286,2023,10,2024,11
10076,Alexandra,Christopher,Hardy,Female,26-06-2004,Christopher,Andrea,04-06-1982,596 Rasmussen Locks Apt. 716,,75724,,Dallas,Iowa,Data Analyst,Police Officer,13599044773,17043525001,17941895243,2022,9,2023,10
10077,David,Geoffrey,Powell,Female,09-08-2004,Geoffrey,Maria,18-01-1982,043 Lambert Coves Suite 945,,39193,,Boston,Rhode Island,Operations Manager,IT Administrator,12463681546,19613254391,14971125520,2020,9,2021,10
10078,Thomas,Brandon,Rogers,Female,18-09-2005,Brandon,Barbara,11-04-1983,3456 Dana Route Apt. 057,,65070,,Charlotte,New Mexico,Electrician,Real Estate Agent,13921077853,14001915371,14159214070,2021,10,2022,11
